factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
theme_score,all_opportunity_d3_max,all_candidates,1,108,45.0,60.0,52.9167,5.2734,3.8294,1.1081,7.5388,0.287,0.1944,0.0093,0.287,-2.4665,5.2734
theme_score,all_opportunity_d3_max,all_candidates,2,107,60.0,70.0,62.5234,4.3913,2.8238,0.5975,7.3709,0.2804,0.1028,0.0093,0.2804,-2.5265,4.3913
theme_score,all_opportunity_d3_max,all_candidates,3,108,70.0,70.0,70.0,6.3095,5.0637,2.6261,9.6074,0.4167,0.1944,0.0093,0.4167,-1.0957,6.3095
theme_score,all_opportunity_d3_max,all_candidates,4,107,70.0,70.0,70.0,3.7598,2.3077,0.7636,6.0368,0.215,0.0748,0.0,0.215,-1.9581,3.7598
theme_score,all_opportunity_d3_max,all_candidates,5,108,70.0,70.0,70.0,3.8055,2.8551,0.6745,7.2046,0.2685,0.0833,0.0,0.2685,-1.1533,3.8055
theme_score,all_primary_d3_close,all_candidates,1,108,45.0,60.0,52.9167,-2.4665,-5.0423,-8.5851,2.052,0.1759,0.1204,0.6111,0.287,-2.4665,5.2734
theme_score,all_primary_d3_close,all_candidates,2,107,60.0,70.0,62.5234,-2.5265,-4.1758,-7.3001,0.8106,0.0935,0.0467,0.5888,0.2804,-2.5265,4.3913
theme_score,all_primary_d3_close,all_candidates,3,108,70.0,70.0,70.0,-1.0957,-2.105,-6.3567,3.1093,0.1204,0.0648,0.4352,0.4167,-1.0957,6.3095
theme_score,all_primary_d3_close,all_candidates,4,107,70.0,70.0,70.0,-1.9581,-3.414,-5.9495,0.6686,0.0935,0.0654,0.5234,0.215,-1.9581,3.7598
theme_score,all_primary_d3_close,all_candidates,5,108,70.0,70.0,70.0,-1.1533,-1.6189,-5.5618,2.691,0.0926,0.0463,0.4167,0.2685,-1.1533,3.8055
theme_score,executed_realized_d3,executed_only,1,14,45.0,60.0,56.7857,-1.0573,-2.1126,-2.9901,1.3627,0.1429,0.0,0.2857,0.1429,-2.3846,3.228
theme_score,executed_realized_d3,executed_only,2,13,60.0,70.0,69.2308,-0.4666,-1.4867,-5.0973,7.0,0.3077,0.0,0.4615,0.3077,-2.1681,5.0281
theme_score,executed_realized_d3,executed_only,3,13,70.0,70.0,70.0,-1.4378,-2.9124,-6.4235,7.0,0.3077,0.0,0.4615,0.2308,-4.0383,3.2656
theme_score,executed_realized_d3,executed_only,4,13,70.0,70.0,70.0,-4.0103,-5.1003,-5.8949,-2.3148,0.0,0.0,0.6154,0.0769,-4.4257,0.9828
theme_score,executed_realized_d3,executed_only,5,13,70.0,70.0,70.0,-0.2502,0.2023,-1.9323,1.4969,0.0769,0.0,0.1538,0.0769,-1.9658,2.1539
total_score,all_opportunity_d3_max,all_candidates,1,108,23.3,53.15,42.7815,3.7681,2.0184,0.555,6.3041,0.2037,0.1111,0.0093,0.2037,-3.1627,3.7681
total_score,all_opportunity_d3_max,all_candidates,2,107,53.25,67.05,60.7332,3.6977,2.5234,0.8755,6.8344,0.2336,0.0935,0.0093,0.2336,-2.8852,3.6977
total_score,all_opportunity_d3_max,all_candidates,3,108,67.25,76.45,72.2968,4.8671,4.7969,1.1167,7.4725,0.287,0.1019,0.0093,0.287,-1.995,4.8671
total_score,all_opportunity_d3_max,all_candidates,4,107,76.5,80.95,78.635,5.0793,3.5496,0.9799,7.2843,0.2991,0.1495,0.0,0.2991,-1.2048,5.0793
total_score,all_opportunity_d3_max,all_candidates,5,108,81.05,89.75,84.9917,6.1331,4.949,2.5944,9.8163,0.4444,0.1944,0.0,0.4444,0.0514,6.1331
total_score,all_primary_d3_close,all_candidates,1,108,23.3,53.15,42.7815,-3.1627,-4.8074,-6.9413,-1.0094,0.1111,0.0556,0.6759,0.2037,-3.1627,3.7681
total_score,all_primary_d3_close,all_candidates,2,107,53.25,67.05,60.7332,-2.8852,-3.8324,-7.7748,1.4993,0.0841,0.0374,0.5794,0.2336,-2.8852,3.6977
total_score,all_primary_d3_close,all_candidates,3,108,67.25,76.45,72.2968,-1.995,-3.1141,-7.1726,1.6112,0.1019,0.0833,0.5093,0.287,-1.995,4.8671
total_score,all_primary_d3_close,all_candidates,4,107,76.5,80.95,78.635,-1.2048,-2.5769,-6.3778,3.4133,0.1308,0.0935,0.4579,0.2991,-1.2048,5.0793
total_score,all_primary_d3_close,all_candidates,5,108,81.05,89.75,84.9917,0.0514,0.4133,-5.3067,4.6996,0.1481,0.0741,0.3519,0.4444,0.0514,6.1331
